Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,54.35606,54.35606,53.541668,53.626896,43.235039,2726698
2017-12-13,53.67424,54.176136,53.47538,53.484848,43.120506,1681574
2017-12-14,53.484848,53.721592,52.253788,52.253788,42.128006,2358259
2017-12-15,52.8125,53.465908,52.8125,53.267044,42.944912,5141981
2017-12-18,53.626896,54.517044,53.551136,54.365528,43.830536,3066096
2017-12-19,54.431816,55.123104,54.41288,54.696972,44.097744,3274550
2017-12-20,54.971592,55.094696,54.772728,54.895832,44.25808,1941562
2017-12-21,54.943184,55.01894,54.39394,54.431816,43.88398,1548730
2017-12-22,54.441288,55.056816,54.35606,54.905304,44.265713,1298669
2017-12-26,54.952652,55.170456,54.35606,54.441288,43.891613,1376074
2017-12-27,54.61174,54.857956,54.422348,54.592804,44.013779,969302
2017-12-28,54.64962,54.76326,54.214016,54.76326,44.151203,1069939
2017-12-29,54.914772,55.160984,54.573864,54.867424,44.235176,1657392
2018-01-02,55.58712,56.666668,55.170456,56.60038,45.632313,3355651
2018-01-03,56.770832,57.604168,56.619316,57.348484,46.235447,2886893
2018-01-04,57.651516,58.598484,57.509472,58.314396,47.014194,2705789
2018-01-05,58.589016,58.607956,58.20076,58.428028,47.105793,1829098
2018-01-08,58.522728,59.128788,58.380684,58.835228,47.434101,2591846
2018-01-09,58.892044,59.0625,58.08712,58.229168,46.945473,2627222
2018-01-10,58.267044,58.67424,58.030304,58.352272,47.04472,1416624
2018-01-11,58.778408,58.929924,58.41856,58.929924,47.510441,1307539
2018-01-12,59.0625,59.119316,58.4375,58.958332,47.53334,2351290
2018-01-16,58.806816,58.98674,57.651516,57.982956,46.746979,1944096
2018-01-17,58.323864,58.51326,58.068184,58.229168,46.945473,1633632
2018-01-18,57.992424,59.488636,57.916668,59.29924,47.808189,4694237
2018-01-19,59.554924,60.33144,59.469696,60.132576,48.480045,3301267
2018-01-22,59.96212,60.160984,59.431816,60.094696,48.449501,2084016
2018-01-23,59.791668,60.198864,59.64962,59.96212,48.342621,1825507
2018-01-24,60.246212,60.89962,60.047348,60.284092,48.602196,1875984
2018-01-25,60.454544,60.672348,59.857956,60.03788,48.403694,1688861
2018-01-26,60.179924,63.191288,59.895832,61.316288,49.434364,3307603
